date,country,category,sales,profit
2023-01-01,Russia,Textiles,14326.67,1181.97
2023-02-01,Russia,Machinery,11689.27,1196.06
2023-03-01,Russia,Food,12944.56,1911.52
2023-04-01,Russia,Textiles,13458.88,1193.72
2023-05-01,Russia,Machinery,12403.24,1029.22
2023-06-01,Russia,Food,12004.22,1566.98
2023-07-01,Russia,Textiles,11624.14,1161.06
2023-08-01,Russia,Machinery,13348.5,1795.3
2023-09-01,Russia,Food,12348.67,1715.56
2023-10-01,Russia,Textiles,14016.9,1130.46
2023-11-01,Russia,Machinery,16254.91,2435.21
2023-12-01,Russia,Food,13010.59,1243.14
2024-01-01,Russia,Textiles,17019.96,1934.48
2024-02-01,Russia,Machinery,12565.75,1126.79
2024-03-01,Russia,Food,14759.08,2071.77
2024-04-01,Russia,Textiles,14775.05,2260.19
2024-05-01,Russia,Machinery,14141.73,2507.49
2024-06-01,Russia,Food,13816.01,1867.98
2024-07-01,Russia,Textiles,15220.78,2159.1
2024-08-01,Russia,Machinery,15441.72,2126.87
2024-09-01,Russia,Food,15114.08,1278.39
2024-10-01,Russia,Textiles,13843.29,1508.07
2024-11-01,Russia,Machinery,15547.48,1605.73
2024-12-01,Russia,Food,13692.58,1476.02
2023-01-01,Kazakhstan,Machinery,7158.12,833.8
2023-02-01,Kazakhstan,Food,5961.1,601.78
2023-03-01,Kazakhstan,Textiles,5891.98,1023.23
2023-04-01,Kazakhstan,Machinery,6424.75,905.33
2023-05-01,Kazakhstan,Food,5885.63,899.99
2023-06-01,Kazakhstan,Textiles,5931.85,699.64
2023-07-01,Kazakhstan,Machinery,7048.55,1014.99
2023-08-01,Kazakhstan,Food,6553.81,972.99
2023-09-01,Kazakhstan,Textiles,6988.45,1101.38
2023-10-01,Kazakhstan,Machinery,6242.34,519.43
2023-11-01,Kazakhstan,Food,7376.31,787.6
2023-12-01,Kazakhstan,Textiles,6331.56,1103.53
2024-01-01,Kazakhstan,Machinery,8383.91,934.54
2024-02-01,Kazakhstan,Food,7052.64,843.24
2024-03-01,Kazakhstan,Textiles,7472.08,940.62
2024-04-01,Kazakhstan,Machinery,6632.71,694.2
2024-05-01,Kazakhstan,Food,7106.16,755.2
2024-06-01,Kazakhstan,Textiles,7199.77,1222.39
2024-07-01,Kazakhstan,Machinery,6996.34,713.15
2024-08-01,Kazakhstan,Food,7916.45,1036.68
2024-09-01,Kazakhstan,Textiles,6666.0,564.69
2024-10-01,Kazakhstan,Machinery,6748.53,963.32
2024-11-01,Kazakhstan,Food,8982.78,1097.84
2024-12-01,Kazakhstan,Textiles,6790.53,802.38
2023-01-01,Belarus,Food,5107.0,678.78
2023-02-01,Belarus,Textiles,4464.4,741.44
2023-03-01,Belarus,Machinery,3717.46,565.32
2023-04-01,Belarus,Food,4311.18,576.39
2023-05-01,Belarus,Textiles,4004.13,576.98
2023-06-01,Belarus,Machinery,3910.6,482.87
2023-07-01,Belarus,Food,4240.39,743.69
2023-08-01,Belarus,Textiles,4644.74,493.92
2023-09-01,Belarus,Machinery,4360.51,426.74
2023-10-01,Belarus,Food,4763.11,795.69
2023-11-01,Belarus,Textiles,4900.17,705.11
2023-12-01,Belarus,Machinery,4577.64,436.18
2024-01-01,Belarus,Food,5470.91,732.76
2024-02-01,Belarus,Textiles,4814.11,640.45
2024-03-01,Belarus,Machinery,4140.53,465.46
2024-04-01,Belarus,Food,4194.07,725.2
2024-05-01,Belarus,Textiles,5034.48,821.46
2024-06-01,Belarus,Machinery,4538.29,389.35
2024-07-01,Belarus,Food,5119.87,894.42
2024-08-01,Belarus,Textiles,4402.23,566.12
2024-09-01,Belarus,Machinery,4423.0,690.25
2024-10-01,Belarus,Food,5139.45,477.14
2024-11-01,Belarus,Textiles,5630.03,759.94
2024-12-01,Belarus,Machinery,4726.94,790.55
